"sex","age","weight","height"
"female",27.45,54.6,160
"female",47.49,45.1,149.2
"female",27.81,41.3,153.7
"female",55.5,41.9,150.5
"male",63.55,43.1,158.1
"male",52.55,40.8,149.2
"male",49.55,42.9,151.8
"female",31.85,46.2,154.9
"male",35.45,47.9,161.3
"female",35.55,42.5,148.6
"male",24.25,48.5,160.7
"male",41.52,45.9,157.5
"male",32.12,52.9,167
"male",33.07,53.1,165.7
"male",43.56,47.6,157.5
"female",62.51,43.5,152.4
"female",21.52,43.4,152.4
"male",54.82,50.5,163.8
"male",55.46,53.2,161.9
"female",37.82,44.7,152.4
"female",37.79,45.9,152.4
"female",38.46,47.2,152.4
"male",28.76,47.2,159.4
"male",28.12,48.3,160
"male",28.09,48.4,160
"female",36.1,33.7,165.1
"female",36.09,31.7,142.2
"female",36.12,33.1,141
"male",37.79,57.9,171.5
"male",37.82,56.4,168.9
"male",38.77,58,169.5
"male",47.82,55.7,159.4
"male",48.51,55.8,160
"male",43.47,47.5,158.1
"female",37.82,45.2,152.4
"female",38.48,52.1,153.7
"female",21.46,45.5,155.6
"male",50.47,48.9,154.3
"male",41.48,46.6,156.8
"female",29.52,43.9,156.2
"female",29.5,46,154.9
"male",21.46,56,168.3
"male",21.77,57.7,169.5
"female",38.46,40.1,148
"female",38.58,40.3,148.6
"male",82.46,40.9,160.7
"female",19.12,50.8,157.5
"male",31.33,46.3,160.7
"male",21.36,49.4,161.3
"female",49.82,42,148.6
"female",50.46,44.1,150.5
"male",38.96,51,163.2
"male",43.82,41,148.6
"male",44.58,40.8,148.6
"female",35.82,38.8,147.3
"female",36.56,37.6,148.6
"female",36.58,38.1,148.6
"male",35.82,51.6,161.9
"male",36.58,49.9,158.8
"female",18.58,44.8,153.7
"female",57.82,45.9,152.4
"female",58.58,43.4,151.1
"male",57.82,46.3,163.8
"male",58.56,46.7,163.8
"male",58.58,47,163.2
"female",29.82,38.7,155.3
"female",30.58,39.5,153
"female",30.56,40.8,151.1
"male",25.82,39.3,156.2
"male",26.58,39.2,156.2
"female",21.82,40.3,139.1
"female",22.58,37.4,140.3
"male",27.82,48.7,158.8
"male",28.56,45.3,159.4
"male",28.58,46.6,160
"female",41.82,36.9,141
"female",42.58,35.6,142.9
"female",42.56,36.3,142.2
"male",20.92,43.7,151.9
"male",18.89,48.2,161.3
"male",19.66,46.9,160.7
"male",19.68,48.2,160.7
"male",47.82,51,161
"female",42.82,44,144.8
"male",24.82,48.2,160
"male",50.82,46.7,161
"male",24.82,56.4,166
"male",27.82,48.6,158
"female",25.82,48.2,154.9
"male",54.46,47.5,160.7
"female",65.82,35.8,148
"female",66.46,35.6,147.3
"female",20.46,43,146.7
"female",20.56,36.6,146.7
"female",20.77,36.8,146.1
"female",25.55,49,147.3
"male",37.79,51.3,173
"male",50.82,49.6,158
"male",51.58,46.5,158.1
"female",47.82,42.8,147
"female",48.75,37,147.3
"male",26.82,48.6,166
"male",27.58,46.3,165.1
"female",21.82,40.2,149.5
"female",22.58,38,149.9
"male",59.82,47.3,161
"male",60.58,47.3,161.9
"male",43.47,55.4,163.8
"male",26.82,54.2,160
"male",27.77,54.5,163.8
"male",30.47,48.5,154.9
"female",29.41,43.1,152.4
"female",18.25,34.2,146.1
"female",29.82,50,152
"male",18.11,41.3,157.5
"female",41.56,44.3,151.8
"female",42.46,33.5,144.8
"male",40.58,47.3,160.7
"female",35.58,46.1,151.1
"male",73.58,47.4,153.7
"female",64.58,40.9,147.3
"female",22.58,45.1,157.5
"male",26.58,42.2,154.9
"female",19.58,41.6,143.5
"male",43.58,45.2,158.1
"female",38.58,51.3,147.3
"male",23.58,49.3,160
"male",49.58,51.2,165.1
"female",41.58,43.9,154.9
"female",23.58,35.5,153.7
"male",43.58,32.9,141.6
"male",21.58,46.8,163.8
"male",24.58,41.9,161.3
"male",20.58,38.2,154.9
"male",20.58,43.3,161.3
"male",34.58,53.6,170.2
"female",29.58,43,149.9
"male",65.58,39.8,160.7
"female",46.58,43.3,154.9
"male",43.58,52.7,166.4
"female",39.58,38.4,148.3
"female",43.48,42.8,151.8
"female",70.47,35.9,148.6
"female",26.77,44.2,153.7
"female",48.77,38.1,146.7
"male",44.58,44.1,154.9
"female",33.58,44,156.2
"male",41.58,47.9,160.7
"female",34.58,39.4,146.1
"male",53.58,41.1,156.2
"female",49.58,40.8,152.4
"female",27.58,47,162.6
"female",31.58,34.2,142.9
"male",30.77,52.2,162.6
"female",20.77,54.1,156.2
"male",63.77,52.5,158.8
